State,Any Use,Binge
Alabama,39.5,10.1
Alaska,53,21
Arizona,45.9,13.1
Arkansas,41.1,13.1
California,49.3,16.4
Colorado,58.5,21.1
Connecticut,57.8,18.9
Delaware,55.7,18.6
District of columbia,69.3,24.2
Florida,52,13.7
Georgia,47,13.9
Hawaii,44.5,17.5
Idaho,42.9,16.1
Illinois,54.6,23.2
Indiana,49.8,17.2
Iowa,60.9,24
Kansas,49.6,14.1
Kentucky,41.1,14.4
Louisiana,54.3,16.8
Maine,58.9,20.6
Maryland,52.3,14
Massachusetts,60.6,22.6
Michigan,56.8,20.2
Minnesota,64,21.9
Mississippi,42.1,12.3
Missouri,48.9,18
Montana,58.7,22.9
Nebraska,58,23.8
Nevada,48.3,11.2
New Hampshire,63.2,19.9
New Jersey,53,17.9
New Mexico,42.1,14.4
New York,52.4,18.3
North Carolina,44,13.3
North Dakota,64.4,25.8
Ohio,54,19.3
Oklahoma,40.1,11.7
Oregon,62.8,19.4
Pennsylvania,52.3,17.6
Rhode Island,58.5,19.8
South Carolina,51.6,14.7
South Dakota,55,21.3
Tennessee,37.7,11.3
Texas,45,14.8
Utah,27.6,11.4
Vermont,59.7,20
Virginia,49.6,16.2
Washington,54.2,17.7
West Virginia,32.2,12.2
Wisconsin,63.3,26.1
Wyoming,51.8,16.3
Guam,33.7,11.9
Puerto Rico,32.9,12
