Year,Milk,Yogurt,Butter,American Cheese,Other Cheese,Cottage Cheese
1975,247,2.0,4.7,8.1,6.1,4.6
1976,246,2.1,4.3,8.9,6.6,4.6
1977,244,2.3,4.3,9.2,6.8,4.6
1978,241,2.5,4.4,9.5,7.3,4.6
1979,238,2.4,4.5,9.6,7.6,4.4
1980,233,2.5,4.5,9.6,7.9,4.4
1981,230,2.4,4.2,10.2,8.0,4.3
1982,224,2.6,4.4,11.3,8.6,4.2
1983,223,3.2,4.9,11.6,9.0,4.1
1984,224,3.6,5.0,11.9,9.6,4.1
1985,227,4.0,4.9,12.2,10.4,4.0
1986,226,4.2,4.8,12.1,11.0,4.0
1987,223,4.4,4.4,12.4,11.7,3.9
1988,222,4.7,4.5,11.5,12.2,3.8
1989,222,3.7,4.4,11.0,12.8,3.5
1990,219,3.9,4.3,11.1,13.5,3.3
1991,218,4.1,4.4,11.0,13.9,3.2
1992,214,4.4,4.3,11.3,14.6,3.1
1993,209,4.9,4.7,11.3,14.7,2.9
1994,208,5.2,4.7,11.4,15.1,2.8
1995,205,6.1,4.6,11.7,15.0,2.7
1996,204,5.9,4.3,11.8,15.3,2.6
1997,201,5.8,4.2,11.8,15.5,2.6
1998,198,5.9,4.3,12.0,15.6,2.6
1999,197,6.1,4.6,12.7,16.2,2.6
2000,196,6.5,4.5,12.7,16.9,2.6
2001,193,7.0,4.3,12.8,17.0,2.6
2002,191,8.0,4.4,12.8,17.4,2.6
2003,189,8.7,4.5,12.5,17.7,2.6
2004,186,9.2,4.5,12.9,18.1,2.7
2005,185,10.4,4.5,12.7,18.7,2.6
2006,184,11.1,4.7,13.1,19.1,2.6
2007,181,11.6,4.7,12.8,19.9,2.6
2008,179,11.8,5.0,13.1,19.0,2.3
2009,178,12.5,5.0,13.4,18.9,2.4
2010,177,13.5,4.9,13.3,19.4,2.3
2011,174,13.7,5.4,13.0,20.0,2.3
2012,170,14.0,5.5,13.2,20.0,2.3
2013,165,14.9,5.5,13.3,20.1,2.1
2014,159,14.9,5.5,13.5,20.4,2.1
