Year,Total enrolled 3 to 34 years,Total enrolled 3 years and over,3 and 4 years,5 and 6 years,7 to 9 years,10 to 13 years,14 and 15 years,16 and 17 years,18 and 19 years,20 and 21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 years and over
2014,55.2,25.6,53.5,93.2,98,98,98.2,95.8,69,54,30.7,14,7.5,1.9
2013,55.8,25.9,52.4,95.1,98,98.5,98.6,95.7,71.1,52.7,31.1,14.8,7.7,2
2012,56.6,26.4,53.2,94.5,97.7,98.2,98.1,96.1,69.2,52.4,28.9,14.6,8.3,2.1
2011,56.8,26.9,52.4,94.1,97.7,98.5,98,94.6,68.9,51.7,30.4,13.5,8.1,2.1
2010,56.5,26.9,52.8,93.8,98.3,98.9,98.6,95.2,66,50.1,28.2,13.2,7.3,2
2009,56.5,26.7,54.5,94.7,98.1,98.6,98.7,94.3,66.8,48.4,27.3,12.4,7.2,1.9
2008,56.2,26.6,55.7,94.6,98.2,98.3,98.3,94.5,65.5,47.5,26.7,11.7,7.2,1.9
2007,56.1,26.6,53.6,95.4,98.6,98.6,98,95.1,67.6,48.7,27.3,11.9,6.9,2
2006,56.2,26.7,54,95.4,98.1,98.6,98.5,94.5,64.4,48.9,26.3,13,6.6,2
2005,56.5,27.1,55.1,94.5,98.1,98.4,97.5,94.9,64.5,48.3,27.8,11.8,6.8,1.9
2004,56.2,27.2,54.5,95.2,98,98.5,98.4,94.3,63.3,47.8,25.6,12.1,6.6,2.1
2003,56.2,27.2,52.2,95.3,98.2,98.4,98.1,93.4,61,45.5,25.1,11.7,6.8,2
2002,56.1,27.3,52.1,95.6,98.1,98.3,98.7,92.8,61.2,44.1,24.6,11.4,6.7,1.9
2001,55.7,27.2,54.2,96,98.5,98.8,98.2,93.6,60.6,45.3,24.5,11.1,6.2,2.1
2000,55.9,27.5,52.1,95.6,98.8,99,98.4,93.9,62.2,44.8,24.9,11.9,6.6,2.1
1999,56,27.7,52.6,96.6,98.8,99.3,98.9,94.3,61.5,45.9,26.4,11.8,5.7,2.3
1998,55.8,27.9,48.3,94,97.2,98.1,98,92.8,61.5,44.4,24.8,11.9,6.1,2.3
1997,55.6,28.3,48.7,96,98.7,99.1,98.9,93.6,59.4,44.9,23.2,11.6,6,2.2
1996,54.1,27.8,47.3,96.7,99.3,99.4,98.8,94.4,60.2,44.9,24.1,10.8,6.7,2.3
