year,all_age,Under 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 and over,age_adj_rate
2013,13.0,0,0,1.0,11.1,14.8,16.2,19.7,18.1,15.0,17.1,18.6,12.6
2012,12.9,0,0,0.8,11.1,14.7,16.7,20.0,18.0,14.0,16.8,17.8,12.6
2011,12.7,0,0,0.7,11.0,14.6,16.2,19.8,17.1,14.1,16.5,16.9,12.3
2010,12.4,0,0,0.7,10.5,14.0,16.0,19.6,17.5,13.7,15.7,17.6,12.1
2009,12.0,0,0,0.6,10.0,13.1,16.1,19.2,16.4,13.7,15.8,16.4,11.8
2008,11.8,0,0,0.5,9.9,13.2,15.9,18.6,16.0,13.6,16.1,16.4,11.6
2007,11.5,0,0,0.5,9.6,13.3,15.7,17.7,15.3,12.4,16.2,17.0,11.3
2006,11.2,0,0,0.5,9.8,12.7,15.2,17.2,14.4,12.4,15.8,17.3,11.0
2005,11.0,0,0,0.7,9.9,12.7,15.1,16.5,13.7,12.4,16.8,18.3,10.9
2004,11.1,0,0,0.7,10.3,12.9,15.2,16.6,13.7,12.2,16.3,17.6,11.0
2003,10.9,0,0,0.6,9.6,12.9,15.0,15.9,13.7,12.6,16.4,17.9,10.8
2002,11.0,0,0,0.6,9.8,12.8,15.3,15.8,13.5,13.4,17.7,18.9,10.9
2001,10.7,0,0,0.7,9.9,12.8,14.7,15.1,13.2,13.2,17.4,17.8,10.7
2000,10.4,0,0,0.7,10.2,12.0,14.5,14.4,12.1,12.5,17.6,19.6,10.4
1999,10.5,0,0,0.6,10.1,12.7,14.3,13.9,12.2,13.4,18.1,19.3,10.5
