Rank,State,Rate
1,North Dakota,2.9
2,Nebraska,3.8
2,South Dakota,3.8
4,Vermont,4.4
5,Utah,4.7
5,Wyoming,4.7
7,Hawaii,4.8
7,Iowa,4.8
9,Minnesota,4.9
10,New Hampshire,5.1
11,Kansas,5.3
11,Oklahoma,5.3
13,Montana,5.4
14,Virginia,5.7
15,Idaho,6.1
16,Texas,6.2
17,Maine,6.6
17,Maryland,6.6
19,Delaware,6.7
19,Louisiana,6.7
19,Massachusetts,6.7
19,Missouri,6.7
19,West Virginia,6.7
24,Colorado,6.8
24,Wisconsin,6.8
26,Alaska,6.9
26,New Mexico,6.9
28,Washington,7
29,Alabama,7.2
30,Florida,7.3
31,Arkansas,7.4
31,Pennsylvania,7.4
33,Ohio,7.5
34,South Carolina,7.6
35,Connecticut,7.7
35,Indiana,7.7
35,New York,7.7
38,Arizona,7.8
38,Tennessee,7.8
40,North Carolina,7.9
40,Oregon,7.9
42,Kentucky,8
43,Georgia,8.2
43,New Jersey,8.2
45,District of Columbia,8.5
46,Mississippi,8.7
47,California,8.9
47,Michigan,8.9
49,Illinois,9.1
50,Rhode Island,9.3
51,Nevada,9.5
