Region,total_number,rate,age_adj_rate
United States,"41,149",13,12.6
Alabama,721,14.9,14.4
Alaska,171,23.3,23.2
Arizona,"1,163",17.6,17.5
Arkansas,516,17.4,17.3
California,"4,025",10.5,10.2
Colorado,"1,007",19.1,18.6
Connecticut,330,9.2,8.7
Delaware,122,13.2,12.5
District of columbia,38,5.9,5.7
Florida,"2,928",15,13.8
Georgia,"1,212",12.1,12
Hawaii,171,12.2,11.8
Idaho,308,19.1,19.2
Illinois,"1,321",10.3,9.9
Indiana,944,14.4,14.2
Iowa,447,14.5,14.4
Kansas,425,14.7,14.7
Kentucky,701,15.9,15.5
Louisiana,583,12.6,12.4
Maine,245,18.4,17.4
Maryland,569,9.6,9.2
Massachusetts,572,8.5,8.2
Michigan,"1,295",13.1,12.9
Minnesota,678,12.5,12.1
Mississippi,388,13,13
Missouri,960,15.9,15.6
Montana,243,23.9,23.7
Nebraska,220,11.8,11.6
Nevada,541,19.4,18.6
New Hampshire,185,14,12.8
New Jersey,757,8.5,8
New Mexico,431,20.7,20.3
New York,"1,687",8.6,8.1
North Carolina,"1,284",13,12.6
North Dakota,128,17.7,17.3
Ohio,"1,526",13.2,12.9
Oklahoma,665,17.3,17.2
Oregon,698,17.8,16.8
Pennsylvania,"1,788",14,13.4
Rhode Island,132,12.6,12.2
South Carolina,696,14.6,14
South Dakota,147,17.4,18
Tennessee,"1,030",15.9,15.4
Texas,"3,059",11.6,11.7
Utah,579,20,21.4
Vermont,112,17.9,16.8
Virginia,"1,072",13,12.5
Washington,"1,027",14.7,14
West Virginia,323,17.4,16.4
Wisconsin,850,14.8,14.4
Wyoming,129,22.1,21.5
Wisconsin,850,14.8,14.4
Wyoming,129,22.1,21.5
