Region,Causes,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths,Number of deaths
Region,Causes,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Region,Causes, Both sexes, Female, Female, Female, Female, Female, Female, Female, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male, Both sexes, Female, Female, Female, Female, Female, Female, Female, Female, Female, Male, Male, Male, Male, Male, Male, Male, Male, Male
Region,Causes, All ages (total) years, 0-27 days, 1-59 months, 5-14 years, 15-29  years, 30-49 years, 50-59  years, 60-69  years, 70+  years, All ages (total) years, 0-27 days, 1-59 months, 5-14 years, 15-29  years, 30-49 years, 50-59  years, 60-69  years, 70+  years, All ages (total) years, All ages (total) years, 0-27 days, 1-59 months, 5-14 years, 15-29  years, 30-49 years, 50-59  years, 60-69  years, 70+  years, All ages (total) years, 0-27 days, 1-59 months, 5-14 years, 15-29  years, 30-49 years, 50-59  years, 60-69  years, 70+  years, All ages (total) years
World, All Causes,55843142,1288145,1742131,687333,1178017,2342901,2129237,3405524,13249303,26022591,1564531,1959306,759146,1678427,3620621,3475751,4898501,11864268,29820551,"55,858,720",1686271,2934824,840375,1395261,2435567,1766197,3141920,"13,258,279","26,031,568",2019320,3207909,909749,1827899,3814645,2783376,4496455,"11,870,870","29,827,152"
World, Communicable &amp; other Group I,12821070,1142345,1382691,378768,533271,861555,286914,355664,1231776,6172984,1395833,1550225,369977,374480,944151,437156,465786,1110478,6648086,"12,822,157",1534053,2497115,486202,693012,976661,295084,378545,"1,232,399","6,173,607",1841766,2698474,456931,450962,1065327,423817,504404,"1,110,942","6,648,550"
World, Infectious and parasitic diseases,6430847,71959,832336,284136,307763,627923,211335,219477,461447,3016376,67068,869879,278932,296890,825565,331382,300509,444246,3414471,"6,431,071",138385,1628054,356683,395884,680432,225323,245869,"461,570","3,016,499",138101,1666954,337987,363927,936060,330345,349917,"444,347","3,414,572"
World, Tuberculosis,934838,36,26891,8220,27329,80999,47420,57346,77542,325783,68,28535,5898,28503,150653,108756,127595,159047,609055,"934,879",80,38038,9146,48452,125823,67295,89097,"77,555","325,796",97,39876,6271,49234,232812,135915,184813,"159,075","609,083"
World, STDs excluding HIV,84272,22717,11516,3768,1259,1570,645,683,1668,43826,21002,12255,3485,761,1004,499,582,858,40446,"84,275",37717,17583,5885,1574,1794,654,675,"1,670","43,828",33654,19068,5393,1105,1549,664,788,859,"40,447"
World, Syphilis,78910,22716,11516,3543,66,83,90,154,303,38471,21002,12255,3484,760,1004,498,582,854,40439,"78,911",37717,17583,5584,76,99,89,142,304,"38,472",33654,19068,5393,1101,1545,664,787,971,63183
World, Chlamydia,1075,0,0,53,272,312,115,109,210,1071,0,0,0,1,0,0,0,3,4,1170,0,0,71,332,354,114,110,189,1170,0,0,0,0,0,0,0,0,0
World, Gonorrhoea,796,0,0,37,202,233,87,73,162,794,0,0,0,0,0,0,0,2,2,883,0,0,50,248,265,88,80,143,874,0,0,0,4,3,0,1,1,9
World, Trichomoniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World, Other STDs,3490,0,0,135,720,942,352,347,994,3490,0,0,0,0,0,0,0,0,0,"3,491",0,0,180,918,1076,364,343,995,"3,491",0,0,0,0,0,0,0,0,0
World, HIV/AIDS,1533760,511,50569,47688,134587,402316,58269,17298,5373,716611,535,51181,48588,104641,479826,93731,29632,9015,817149,"1,533,762",1047,102865,22984,188762,410233,64846,18952,6585,816274,1079,105019,23287,125657,495240,79371,24112,"9,017","817,151"
World, Diarrhoeal diseases,1497674,10553,296874,76128,50820,56009,43032,69576,199277,802269,11293,303445,65918,34518,55676,41349,55984,127222,695405,"1,497,725",20212,602562,101092,56064,60693,43307,75361,"199,312","802,304",21949,590426,86377,45669,69951,44150,66712,"127,238","695,421"
World, Childhood-cluster diseases,266267,31797,79345,17532,2713,1143,711,810,929,134980,26128,83039,14306,2523,1852,1281,849,1309,131287,867106,73526,273223,66805,8683,2439,1164,1206,1347,428393,74145,287423,59213,8899,3697,1886,1349,2101,438713
World, Whooping cough,67061,1406,27391,1401,255,122,103,0,5,30683,1444,32437,1688,447,194,164,0,4,36378,68753,1301,26398,3078,493,180,115,14,38,31617,1318,31167,3393,797,271,165,14,11,37136
World, Diphtheria,2614,2,654,550,36,20,15,0,1,1278,4,648,572,54,33,24,0,1,1336,5766,4,1459,1304,69,34,23,0,2,2895,9,1428,1232,91,64,37,2,8,2871
World, Measles,130461,0,51042,14642,1736,376,120,200,87,68203,0,49656,10472,1275,421,220,179,35,62258,620937,0,244705,58894,6033,633,153,47,17,310482,0,253997,49440,6017,715,230,45,11,310455
World, Tetanus,66131,30389,259,939,686,624,473,609,836,34815,24680,298,1574,747,1204,873,670,1270,31316,"66,132",72221,661,3530,2087,1592,873,1144,1290,83398,72819,832,5147,1993,2646,1455,1289,"1,271","31,317"
World, Meningitis,395225,80,68297,36823,22995,16406,10428,11064,18427,184520,110,75347,36922,33705,26193,12392,11244,14792,210705,"395,230",257,129892,39920,22670,14913,8869,9702,"18,429","184,522",335,143802,39478,32780,23774,10388,10011,"14,795","210,708"
World, Encephalitis,77870,6,13503,6833,4999,3466,2142,2519,4344,37812,8,13255,5991,6342,5812,2714,2290,3646,40058,109029,24,27773,10241,5566,3424,1735,2180,3120,54063,32,29007,8273,6085,4988,1897,1950,2734,54966
World, Acute hepatitis B,149162,31,1913,4230,5529,9624,10789,11690,18218,62024,48,2744,4932,10339,20310,17475,15956,15334,87138,"149,166",61,1903,7822,6460,8395,6589,8038,"18,221","62,027",101,2452,6774,10485,18668,12335,11700,"15,335","87,139"
World, Acute hepatitis C,38913,0,1,334,646,2124,3349,3552,8482,18488,0,1,384,716,3893,6229,4307,4895,20425,"38,915",0,1,465,705,1689,1431,2238,"8,483","18,489",0,1,526,702,3610,2274,2333,"4,896","20,426"
World, Parasitic and vector diseases,786166,152,241605,34809,23213,24271,13163,14049,22983,374245,195,250604,36869,31894,36769,18440,16070,21080,411921,"786,183",120,385829,46369,26544,24553,12781,13278,"22,991","374,253",176,395060,50726,40916,40551,18571,17060,"21,089","411,930"
World, Malaria,618248,1,234926,17469,13897,13335,5587,5857,10695,301767,0,241266,14791,16014,18926,8982,7034,9468,316481,875063,3,375908,13200,11709,10937,5251,5658,7708,430374,2,380525,11316,13442,16065,8003,7046,8290,444689
World, Trypanosomiasis,17971,0,194,3410,2624,1595,370,97,20,8310,0,168,3109,3813,2149,325,80,17,9661,53164,0,478,10776,6755,4201,1172,305,75,23762,0,424,9924,11321,6454,975,261,43,29402
World, Chagas disease,7794,0,1,1,15,258,541,782,1805,3403,1,2,2,43,571,841,1078,1853,4391,"7,807",1,2,4,45,477,673,944,"1,811","3,409",0,3,3,94,939,1169,1262,"1,860","4,398"
World, Schistosomiasis,21798,0,296,11,343,2790,2274,2252,3159,11125,0,772,6,868,3399,1775,1895,1958,10673,22612,0,586,17,464,2775,2078,2104,2817,10841,1,197,11,360,2941,2358,2727,3176,11771
World, Leishmaniasis,48405,48,2674,4665,2765,2105,1039,843,1042,15181,77,5383,10139,6261,5603,2437,1625,1699,33224,"48,406",60,4666,7124,3725,2521,1087,927,1059,21169,105,9796,14955,9259,7545,2660,2030,"1,700","33,225"
World, Lymphatic filariasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
World, Onchocerciasis,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
World, Leprosy,7789,0,244,34,65,303,569,767,1001,2983,0,0,58,13,744,1074,1457,1460,4806,"7,790",0,0,37,72,328,462,765,888,2552,0,0,0,19,743,994,1261,"1,461","4,807"
World, Dengue,28753,101,1860,1894,1569,2096,1488,2125,3933,15066,113,1497,2077,1916,2254,1366,1406,3058,13687,"28,755",54,1511,1867,876,946,582,1044,"3,934","15,067",63,1252,1892,1418,1391,654,836,"3,059","13,688"
World, Trachoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World, Rabies,35412,2,1410,7324,1935,1789,1295,1328,1327,16410,4,1516,6687,2966,3125,1641,1496,1567,19002,"35,413",3,2679,13346,2899,2366,1477,1532,"1,328","16,411",5,2861,12625,5003,4473,1758,1636,1687,30048
World, Intestinal nematode infections,3304,6,520,373,45,98,77,154,309,1582,8,601,390,56,94,145,163,265,1722,3133,11,629,408,55,71,48,87,175,1484,11,708,443,64,72,73,113,165,1649
World, Ascariasis,3302,6,520,373,45,97,77,154,309,1581,8,601,390,56,94,145,163,264,1721,3126,10,629,408,55,71,48,86,175,1482,11,708,443,64,69,73,112,164,1644
World, Trichuriasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World, Hookworm disease,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,1,5
World, Other infectious diseases,663408,6072,41302,47399,33628,29898,21312,30736,103896,314243,7673,48873,55250,42893,43483,28372,35838,86783,349165,"663,509",5329,47758,45548,30350,26404,16605,25055,"103,956","314,303",6522,54113,51227,42335,41149,22823,28976,"86,824","349,206"
World, Respiratory infections,3060166,62716,386085,61466,48259,61610,59395,111542,670419,1461492,79798,469438,61177,55168,93535,91550,144659,603349,1598674,"3,060,837",110528,661752,90204,48712,61082,53410,107243,"670,808","1,461,881",133261,765040,81975,61233,101627,78807,133078,"603,631","1,598,956"
World, Lower respiratory infections,3051318,62544,384711,61185,48060,61352,59187,111224,668927,1457190,79587,467771,60858,54946,93190,91269,144232,602275,1594128,"3,051,988",110286,659683,89801,48495,60819,53194,106893,"669,315","1,457,578",132987,762677,81610,60979,101259,78542,132669,"602,557","1,594,410"
World, Upper respiratory infections,6038,131,800,127,119,126,113,238,1303,2957,167,1017,164,122,220,185,278,928,3081,8503,183,1252,195,100,138,112,251,2171,4402,219,1458,178,129,238,173,328,1378,4101
World, Otitis media,2811,41,574,154,81,132,95,80,189,1346,44,650,154,100,126,96,149,146,1465,"2,812",59,817,208,117,125,104,99,185,1714,55,905,188,124,129,92,81,147,"1,466"
World, Maternal conditions,296002,0,0,53,150983,144900,58,4,4,296002,0,0,0,0,0,0,0,0,0,427264,0,0,46,220183,207010,24,0,1,427264,0,0,0,0,0,0,0,0,0
World, Neonatal conditions,2475075,1007414,89198,163,18,10,27,4,14,1096848,1248674,129409,39,36,25,4,18,22,1378227,3096997,1284244,97538,21,5,1,1,0,1,1381811,1569295,145839,29,15,5,2,1,0,1715186
World, Preterm birth complications,1134955,460370,53215,3,1,1,0,0,6,513596,546059,75287,5,5,1,0,0,2,621359,1316104,540759,56576,3,1,0,0,0,1,597340,636710,82047,1,4,1,0,1,0,718764
World, Birth asphyxia and birth trauma,743908,294380,23331,17,17,8,3,4,3,317763,389099,36957,23,30,13,4,3,16,426145,1045377,424766,22748,18,4,1,1,0,0,447538,559208,38585,28,12,4,2,0,0,597839
World, Neonatal sepsis and infections,431067,190218,39,142,0,1,24,0,5,190429,240559,37,11,1,11,0,15,4,240638,544388,250569,23,0,0,0,0,0,0,250592,293770,26,0,0,0,0,0,0,293796
World, Other neonatal conditions,165145,62446,12613,0,0,0,0,0,0,75059,72958,17128,0,0,0,0,0,0,90086,191130,68150,18191,0,0,0,0,0,0,86341,79608,25181,0,0,0,0,0,0,104789
World, Nutritional deficiencies,558980,256,75073,32951,26247,27113,16099,24637,99892,302268,293,81498,29829,22387,25025,14220,20600,62860,256712,"559,173",896,109771,39248,28228,28137,16325,25433,"100,004","302,380",1110,120641,36940,25787,27636,14664,21409,"62,941","256,793"
World, Protein-energy malnutrition,456350,230,70943,27433,17505,20441,12610,19510,76702,245374,262,76922,25112,15176,18887,11069,15979,47569,210976,"456,507",770,105353,34216,20661,22675,13670,21363,"76,795","245,467",971,115184,32354,19076,22269,12165,17427,"47,633","211,040"
World, Iodine deficiency,3247,1,75,135,743,316,61,73,271,1675,0,103,130,740,311,52,70,166,1572,1240,0,66,39,229,104,23,30,99,590,1,84,40,277,119,24,31,74,650
World, Vitamin A deficiency,120,0,0,0,0,39,2,2,75,118,0,0,0,0,0,0,1,1,2,8,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4
